,Tweets
120,Aaron Carter’s older brother Nick is heartbroken after the singer’s death at the age of 34. https://t.co/EzKiXCJF7c
121,"At least 19 dead after a commercial aircraft crashed into Lake Victoria in Tanzania
https://t.co/eQxN5waZRa"
122,"A rescue operation is underway after a commercial plane operated by Precision Air crashes into Lake Victoria in Tanzania, the airline says https://t.co/tylZv5aWRB"
123,The Houston Astros won the franchise’s second World Series title on Saturday after defeating the Philadelphia Phillies 4-1 in Game 6 at Minute Maid Park. https://t.co/KabREwS8dk
124,"Singer Aaron Carter, who rose to fame as a child pop star, has died at age 34. https://t.co/fzkjKoGDey https://t.co/yf9H2QcCOv"
125,The House January 6 committee is talking with Secret Service agents who were in former President Donald Trump's motorcade the day of the US Capitol riot https://t.co/2CozgFK2XJ
126,"Tom Barrack, a longtime ally of former President Donald Trump, has been acquitted of foreign lobbying charges https://t.co/Z4qhyg7IYk"
127,"US economy added 261,000 jobs in October, indicating that the Fed's efforts to cool the economy might be working https://t.co/HO4drT3iOD"
128,"Elon Musk will begin laying off Twitter employees on Friday morning, according to a memo sent to staff. 
https://t.co/zYQer9JVCp"
129,"Brooklyn Nets suspend Kyrie Irving for at least five games over his ""failure to disavow antisemitism"" following Twitter controversy
https://t.co/g7kc8DrjYN"
130,"Paul Pelosi, husband of House Speaker Nancy Pelosi, has been released from a San Francisco hospital after recovering from surgery to repair a skull fracture and injuries to his hand and arm, according to a source familiar with the matter. https://t.co/sLXztU48u1"
131,"The FBI has issued a warning after it received “credible information of a broad threat to synagogues” in New Jersey, according to a tweet from FBI Newark. https://t.co/XjUwiQomHA"
132,"Bank of England raises interest rates by 0.75 percentage points, its biggest hike in 33 years, to tackle double-digit UK inflation https://t.co/mIwZjFwKBB"
133,"Pakistan’s ex-Prime Minister Imran Khan has been injured after an unidentified gunman opened fire at a rally, according to an official from Khan’s PTI party https://t.co/4ZaK8OKpsU"
134,A judge formally sentenced the Parkland school shooter to life in prison. Jurors had failed to reach a unanimous decision on the death penalty. https://t.co/cF5e6Ev9nJ
135,"The Fed makes history with a fourth consecutive three-quarter point rate hike, an unprecedented move to curb the US economy's white-hot inflation. https://t.co/fIzNddI3hl"
136,"Trump's lawyers saw Justice Clarence Thomas as ""key"" to a plan to delay certification of Biden's 2020 win, according to emails recently turned over to the House select committee investigating January 6 https://t.co/IycLypR0Rh"
137,"Russia says it will resume participation in a grain export deal with Ukraine that is vital to global food security.

Live updates: https://t.co/alf2f9lhkV"
138,"CVS, Walgreens and Walmart have tentatively agreed to pay at least $12 billion to settle a number of lawsuits alleging the retailers mishandled prescriptions of opioid painkillers, according to reports from Bloomberg and Reuters
https://t.co/YLa4dlcHT3"
139,"Man accused of attacking Paul Pelosi, husband of House Speaker Nancy Pelosi, pleads not guilty to all state charges during initial court appearance
https://t.co/YJXVfIx0BI"
140,"Former Israeli leader Benjamin Netanyahu may be on the verge of a comeback, as exit polls suggest his bloc could win a majority in parliament
https://t.co/5SBcCDvaxQ"
141,"Brazilian President Jair Bolsonaro does not concede election loss in speech after days of silence, but signals cooperation with transfer of power
https://t.co/4FStE9Qrg5"
142,"Two police officers were shot Tuesday afternoon in Newark, New Jersey, and authorities are looking for a suspect, according to several law enforcement sources https://t.co/Bq46PWunMb"
143,"Supreme Court declines to block subpoena for Sen. Lindsey Graham's testimony in front of Atlanta grand jury probing efforts to overturn 2020 election
https://t.co/h91Wf797FL"
144,"Takeoff, who was one third of the platinum-selling rap group Migos, was shot and killed early Tuesday in Houston,Texas, a source close to the group confirmed to CNN. He was 28. https://t.co/jPFciC8ENa https://t.co/WE7CU7iuHm"
145,Supreme Court Chief Justice Roberts has issued a temporary hold on the release of Trump's tax returns to a Democratic-led House committee https://t.co/f13U22wmQz
146,SpaceX's Falcon Heavy returns to flight for the first time since 2019. The rocket is hauling satellites to space for a secret US military mission. https://t.co/u3WEHliA7b
147,"Federal charges have been filed against the suspect accused of attacking Paul Pelosi, the husband of House Speaker Nancy Pelosi, at the couple’s home https://t.co/HDr2FqVX9n"
148,Former President Trump asks US Supreme Court to halt the release of his IRS tax returns to Democratic-led House committee https://t.co/IR0qeoslmO
149,"Russia renews attacks on key infrastructure in Kyiv and other Ukrainian cities, causing power and water outages in the capital https://t.co/uLRh0PQRtc"
150,Luiz Inácio Lula da Silva wins Brazil's presidential election in a stunning comeback after a neck-and-neck race against incumbent Bolsonaro. https://t.co/nQdTOmFOnK
151,"At least 60 people have died after a suspension bridge collapsed in India's Gujarat state, an official says. https://t.co/WiQJqChqUu"
152,"The man who is alleged to have attacked Nancy Pelosi's husband in the couple's home had a bag that contained multiple zip ties, a source says
https://t.co/kGiwqdyjlO"
153,"At least 2 US citizens among those killed in Seoul tragedy, US embassy says
https://t.co/ojsqQqi3Q4"
154,"Nancy Pelosi says her children and grandchildren are ""heartbroken and traumatized"" in her first public comments since her husband was attacked Friday https://t.co/pCD2DMDftF"
155,"The death toll has reached at least 120 during crowded Halloween festivities in South Korea’s capital of Seoul. Follow live updates.
https://t.co/JMKzgK3pdy"
156,"At least 59 are dead and 150 injured after a Halloween incident in South Korea’s capital, official says. The cause of the deaths is unclear.
https://t.co/iEDod0ZSXi"
157,"Dozens of people suffer ""cardiac arrest"" following an incident during Halloween festivities in South Korea's capital Seoul https://t.co/HdU6Xwd50f"
158,"Russia suspends its participation in UN-brokered grain export deal with Ukraine after drone attacks in Crimea for which Moscow blames Kyiv.

Follow live updates: https://t.co/0gWmMkb3pd"
159,"Paul Pelosi underwent surgery ""to repair a skull fracture and serious injuries to his right arm and hands,"" a spokesman for Nancy Pelosi said https://t.co/lJSYG2Tw32"
160,Six people were taken to the hospital after shots were fired in Pittsburgh’s Brighton Heights area. Officials report a “very active” scene. https://t.co/VceyCpAxEE
161,"Jerry Lee Lewis, the singer who electrified early rock 'n' roll with hits like ""Great Balls of Fire"" and ""Whole Lotta Shakin' Goin' On,"" has died at age 87 https://t.co/wbztVHcGjC"
162,"The man who assaulted Paul Pelosi tried to tie him up, sources say. When the police arrived, the assailant said he was “waiting for Nancy.” https://t.co/UR3w2TOnDM"
163,"Model Gisele Bündchen and football star Tom Brady will mutually petition for dissolution of marriage in Florida on Friday, a source tells CNN. https://t.co/SACegLNUbG"
164,"New inflation data shows that US prices were still uncomfortably high last month, despite aggressive action from the Federal Reserve https://t.co/8E3Fec6lCo"
165,"Paul Pelosi, the husband of House Speaker Nancy Pelosi, was attacked at the couple's home in San Francisco early Friday morning, her office said https://t.co/uwZg8BGXFd"
166,"Moscow sends up to 1,000 troops to Kherson, Ukraine says, as Russian forces dig in ahead of an expected battle for the occupied city.

Follow live updates: https://t.co/RwOhKlz0DM"
167,"Elon Musk closes deal to purchase Twitter and fires CEO Parag Agrawal and two other executives, according to a source. https://t.co/djlwYfGqEL"
168,Appeals court clears the way for the IRS to turn over Trump’s tax returns to House committee. Trump could still appeal to the Supreme Court. https://t.co/JwHyS7yN28
169,"At least one person is dead and four are injured, including a player for English soccer team Arsenal, after a stabbing attack in Italy https://t.co/rw7UwMnhpf"
170,"The House January 6 committee is moving to interview Secret Service officials and top agents, signaling it’s still pursuing answers on a number of fronts https://t.co/UprEUTa8vG"
171,"US mortgage rates top 7% for the first time since 2002, more than doubling since the beginning of this year 
https://t.co/eVcDGjmUcy"
172,"The European Central Bank has hiked interest rates by three quarters of a percentage point, promising further hikes to come as it tackles rising inflation https://t.co/E0bYE6jCUt"
173,"The US economy bounced back last quarter, growing at an adjusted rate of 2.6%, after shrinking in the first half of the year https://t.co/3j5uluQFrM"
174,Jury finds Darrell Brooks guilty of first-degree intentional homicide after he drove his SUV through a crowd at a Wisconsin Christmas parade last year https://t.co/X5pBP8z4wD
175,The body of an American man killed in August while fighting alongside the Ukrainian military has been returned to Kyiv's custody by Russian forces https://t.co/F8FZC9Gzte
176,"President Obama's final defense secretary, Ashton Carter, has died at age 68 https://t.co/oxmX5cbQnV"
177,"US home prices continued to grow in August, but the pace of growth slowed considerably as rising mortgage rates pushed more prospective buyers out of the market https://t.co/b2frEbMVvY"
178,"A Russian court upholds US basketball star Brittney Griner's conviction for smuggling drugs into the country

Follow live updates: https://t.co/m1jfa0OWpX"
179,"King Charles III officially appoints Rishi Sunak as British Prime Minister, the country's third leader in seven weeks
https://t.co/7vfD4IR1Uk"
180,"Leslie Jordan, a beloved comedian and actor known for his work on “Will and Grace,” has died, his longtime staff member told CNN. He was 67. https://t.co/4zwVkh2uYm"
181,A former Minneapolis police officer who helped restrain George Floyd has pleaded guilty while another has waived his right to a trial by jury https://t.co/ft1YY14Yo3
182,The US Justice Department has unsealed charges against two alleged Chinese spies who are accused of interfering with a federal prosecution of China-based telecommunications company Huawei https://t.co/LmB1dBu9f8
183,"A woman and teen were killed in a shooting at a St. Louis school and the suspected shooter is also dead, police say https://t.co/PpBh2LNWCr"
184,Supreme Court Justice Clarence Thomas freezes order for Sen. Lindsey Graham to testify before Atlanta-area grand jury probing election interference https://t.co/VQcb0pdEGw
185,"A Michigan teen pleads guilty to murder charges in high school shooting that also led to charges against his parents
https://t.co/4WZcijAb9c"
186,Rishi Sunak will be Britain's new prime minister after seeing off rivals in the fast-tracked race to replace Liz Truss https://t.co/BpPCjj3G9S
187,"Boris Johnson won't enter UK Conservative Party leadership race, dashing potential comeback bid for premiership. https://t.co/FaNleXyBGy"
188,"Two employees have been killed in a shooting at a Dallas hospital, according to police https://t.co/r1ZcdpBfwG"
189,"Dr. Rochelle Walensky, director of the CDC, tested positive for Covid-19 and has mild symptoms https://t.co/7uoDbM68TS"
190,The Russian-installed authority in the southern Ukrainian city of Kherson tells civilians to leave the city immediately. Follow live updates. https://t.co/JBgtWc7xba
191,A federal appeals court has put a temporary hold on President Biden's student debt relief program while it considers a challenge to the policy https://t.co/ui7smoLrFs
192,Sen. Lindsey Graham has asked the Supreme Court to block a subpoena from an Atlanta grand jury investigating 2020 election interference https://t.co/G8HdzbhXou
193,"The Dow rose for the third straight week, its longest weekly winning streak of the year, with some blue-chip stocks hitting all-time highs https://t.co/iyFtaymY9k"
194,The House January 6 committee announced that it has sent a subpoena for Donald Trump to testify about the US Capitol riot https://t.co/fhUtR3Qk4r
195,"The White House has held talks with Elon Musk about potentially setting up SpaceX's satellite internet service in Iran to support protests, sources say https://t.co/FfpIZ3MtvY"
